"AGE16.25","AGE26.39","AGE40.64","AGE65.","GENDERmale","RACEminority","DRIVING_EXPERIENCE10.19y","DRIVING_EXPERIENCE20.29y","DRIVING_EXPERIENCE30y.","EDUCATIONnone","EDUCATIONuniversity","INCOMEpoverty","INCOMEupper.class","INCOMEworking.class","CREDIT_SCORE","VEHICLE_OWNERSHIP1","VEHICLE_YEARbefore.2015","MARRIED1","CHILDREN1","POSTAL_CODE21217","POSTAL_CODE32765","POSTAL_CODE92101","ANNUAL_MILEAGE","VEHICLE_TYPEsports.car","SPEEDING_VIOLATIONS","DUIS","PAST_ACCIDENTS","OUTCOME1"
0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.496442325347863,0,1,1,1,0,0,0,0.45,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.665877127302074,1,0,1,1,0,0,0,0.4,0,0.181818181818182,0,0.0666666666666667,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.620671033793528,1,1,1,1,0,1,0,0.4,0,0.0454545454545455,0.166666666666667,0.0666666666666667,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.229582650273964,0,1,0,1,0,0,0,0.55,0,0,0,0,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.452166661005574,0,1,0,1,0,1,0,0.4,0,0,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.716995414282477,1,0,1,1,0,1,0,0.4,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.349805379763821,0,1,1,1,0,0,0,0.55,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.270819671784357,1,1,0,0,0,0,0,0.55,1,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.477997346503347,0,1,1,1,0,1,0,0.25,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501512537666788,1,1,0,1,0,1,0,0.45,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.319654587801613,1,1,1,0,0,0,0,0.8,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.509130465985485,0,1,0,0,0,0,0,0.7,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,1,0,1,0,0.622536541098449,1,0,1,0,0,0,1,0.6,0,0,0,0,1
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.578862890727842,1,0,1,1,0,0,0,0.5,0,0,0,0.0666666666666667,0
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.496142856125377,0,1,0,0,0,1,0,0.45,0,0,0,0,1
0,1,0,0,1,1,1,0,0,1,0,0,0,1,0.422703046568696,1,1,0,0,0,0,0,0.5,0,0.136363636363636,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.481584307430372,1,0,1,0,0,0,0,0.7,0,0,0.166666666666667,0.133333333333333,0
0,0,1,0,1,0,0,1,0,0,1,0,0,0,0.506727281562947,1,1,1,1,0,1,0,0.15,0,0.318181818181818,0.166666666666667,0.133333333333333,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.261622321024398,1,1,0,1,0,0,1,0.6,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.41323149282115,0,1,0,0,0,1,0,0.55,0,0,0,0,1
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.624876404807258,1,1,1,1,0,0,0,0.35,0,0.0454545454545455,0,0.133333333333333,0
0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.745479840685767,1,0,0,1,0,0,0,0.6,0,0.181818181818182,0,0.333333333333333,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.532477278049458,1,1,1,1,0,0,0,0.45,0,0,0,0,0
0,0,1,0,0,1,0,1,0,0,1,0,1,0,0.62983853899678,1,0,1,0,0,0,1,0.5,1,0.0454545454545455,0,0,1
0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.64135556599268,1,0,1,1,0,1,0,0.3,0,0.318181818181818,0.5,0.0666666666666667,0
0,1,0,0,1,0,1,0,0,0,1,0,0,1,0.397333886402108,0,1,1,1,0,1,0,0.45,0,0.0454545454545455,0,0.0666666666666667,1
0,1,0,0,1,0,1,0,0,1,0,1,0,0,0.313440543993732,0,1,0,0,0,1,0,0.35,1,0.136363636363636,0,0,0
0,0,1,0,1,0,0,1,0,0,0,0,0,1,0.397566520520443,0,1,1,1,0,0,0,0.25,0,0.227272727272727,0.166666666666667,0.0666666666666667,0
0,0,0,1,1,0,0,0,1,0,0,0,1,0,0.59303075977313,1,1,1,1,0,0,0,0.45,1,0.0454545454545455,0,0.266666666666667,0
0,0,0,1,1,0,0,0,1,0,0,0,1,0,0.768076550348639,0,1,0,1,0,1,0,0.5,0,0.272727272727273,0.333333333333333,0.0666666666666667,0
0,0,1,0,0,0,1,0,0,0,1,0,1,0,0.729078458967605,1,1,0,1,0,0,0,0.65,0,0,0,0.0666666666666667,0
0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.367735678721107,1,1,0,0,0,0,0,0.6,0,0,0,0.0666666666666667,0
0,1,0,0,1,0,1,0,0,0,1,0,1,0,0.653857993643792,0,0,1,0,0,1,0,0.45,0,0.272727272727273,0,0.0666666666666667,0
0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.651104656342251,1,1,1,1,0,0,0,0.35,0,0.0454545454545455,0,0.2,0
0,0,1,0,1,0,1,0,0,0,1,0,1,0,0.699998185082633,1,1,0,1,0,0,0,0.65,0,0,0,0,1
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.344755530083291,0,1,0,0,0,1,0,0.4,0,0,0,0,1
0,0,1,0,1,0,0,1,0,0,1,0,1,0,0.404486248703705,1,1,0,1,0,1,0,0.45,0,0.181818181818182,0,0.133333333333333,0
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.21908727895001,1,1,1,1,0,0,0,0.45,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,1,0,0,1,0.381249682570133,0,1,0,0,0,0,0,0.65,0,0,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,1,0,0.631941512590807,1,0,1,1,0,0,0,0.35,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.660501201147885,1,1,1,1,0,0,0,0.55,0,0.181818181818182,0,0.133333333333333,0
0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.619066599098303,1,0,0,1,0,0,0,0.55,0,0,0,0.2,0
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.376457323080357,0,1,0,0,0,0,0,0.65,0,0.0454545454545455,0,0.0666666666666667,1
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.601425167316881,1,1,1,1,0,0,0,0.45,0,0.0909090909090909,0,0.0666666666666667,0
0,0,1,0,0,1,0,1,0,1,0,1,0,0,0.46833495312741,0,1,0,1,0,0,0,0.5,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,1,0,1,0,0.464852698423532,1,0,1,1,0,0,0,0.55,0,0.136363636363636,0.166666666666667,0.0666666666666667,0
1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.363435989260873,0,1,0,0,0,1,0,0.45,0,0,0,0,0
0,0,0,1,0,0,0,0,1,1,0,0,1,0,0.48504275303321,1,0,1,1,0,0,0,0.25,0,0.0454545454545455,0.166666666666667,0.2,0
0,1,0,0,1,0,1,0,0,1,0,0,0,1,0.590465993514982,1,1,1,1,0,0,0,0.3,0,0.0454545454545455,0.166666666666667,0.266666666666667,0
0,0,0,1,0,0,0,0,1,0,1,0,1,0,0.775795388583649,1,1,0,1,0,0,0,0.45,0,0.136363636363636,0.166666666666667,0,0
0,1,0,0,0,0,1,0,0,0,1,1,0,0,0.477409638814836,0,1,1,1,0,0,0,0.6,0,0.0454545454545455,0,0.133333333333333,0
0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.228979810774546,1,1,1,1,0,0,0,0.35,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1,0,1,0,0,0.374270756263941,0,1,0,1,1,0,0,0.4,0,0,0,0,1
